Rival,nombre,RvE_pct,n
C. JUAREZ,Alan Mozo,235.76729884081598,1
C. JUAREZ,Alan Pulido,50.34742955944268,1
C. JUAREZ,Armando González,198.50673044622286,1
C. JUAREZ,Bryan González,152.92419986960903,1
C. JUAREZ,Cade Cowell,181.97377494628256,1
C. JUAREZ,Daniel Aguirre,250.0,1
C. JUAREZ,Diego Campillo,188.04829345118296,1
C. JUAREZ,Efraín Álvarez,120.9967970299205,1
C. JUAREZ,Erick Gutiérrez,243.4721431222418,1
C. JUAREZ,Hugo Camberos,43.54046572157469,1
C. JUAREZ,Isaác Brisuela,250.0,1
C. JUAREZ,Javier Hernández,250.0,1
C. JUAREZ,José Castillo,175.5406410034469,1
C. JUAREZ,Luis Olivas,164.85297412884273,1
C. JUAREZ,Luis Romo,250.0,1
C. JUAREZ,Miguel Gómez,4.506945008271214,1
C. JUAREZ,Raúl Martínez,23.94192176898172,1
C. JUAREZ,Richard Ledezma,250.0,1
C. JUAREZ,Roberto Alvarado,169.7329189409193,1
C. JUAREZ,Santiago Sandoval,21.048405093852665,1
C. JUAREZ,Teun Wilke,241.08549014559722,1
CHARLOTTE,Alan Mozo,100.05450448901169,1
CHARLOTTE,Alan Pulido,250.0,1
CHARLOTTE,Armando González,58.29976588067895,1
CHARLOTTE,Bryan González,186.48147038543576,1
CHARLOTTE,Cade Cowell,0.0,1
CHARLOTTE,Daniel Aguirre,250.0,1
CHARLOTTE,Diego Campillo,225.77525178178382,1
CHARLOTTE,Efraín Álvarez,247.61605826003722,1
CHARLOTTE,Gilberto Sepulveda,215.0694407014927,1
CHARLOTTE,José Castillo,250.0,1
CHARLOTTE,Luis Romo,250.0,1
CHARLOTTE,Miguel Gómez,18.476550365541335,1
CHARLOTTE,Raúl Rangel,123.16496969316563,1
CHARLOTTE,Richard Ledezma,250.0,1
CHARLOTTE,Roberto Alvarado,208.70952987159853,1
CHARLOTTE,Yael Padilla,102.62860781260473,1
CINCINNATI,Alan Mozo,250.0,1
CINCINNATI,Armando González,250.0,1
CINCINNATI,Bryan González,220.93781771756912,1
CINCINNATI,Cade Cowell,134.14967787389247,1
CINCINNATI,Diego Campillo,244.31550091675697,1
CINCINNATI,Efraín Álvarez,250.0,1
CINCINNATI,Gilberto Sepulveda,250.0,1
CINCINNATI,Hugo Camberos,147.21157162279718,1
CINCINNATI,José Castillo,250.0,1
CINCINNATI,Luis Romo,250.0,1
CINCINNATI,Miguel Gómez,72.99768457488572,1
CINCINNATI,Raúl Rangel,143.78560209642254,1
CINCINNATI,Rubén González,250.0,1
CINCINNATI,Teun Wilke,10.12865297162281,1
CINCINNATI,Yael Padilla,250.0,1
LEON,Alan Pulido,250.0,1
LEON,Armando González,5.819170790663095,1
LEON,Bryan González,179.44563275832263,1
LEON,Cade Cowell,250.0,1
LEON,Daniel Aguirre,250.0,1
LEON,Diego Campillo,50.62422681824344,1
LEON,Efraín Álvarez,85.73764061357595,1
LEON,Erick Gutiérrez,220.41471928284997,1
LEON,Hugo Camberos,99.04233264695145,1
LEON,José Castillo,175.0415635028202,1
LEON,Luis Romo,250.0,1
LEON,Omar Govea,250.0,1
LEON,Richard Ledezma,235.46610346727653,1
LEON,Roberto Alvarado,200.51311171585886,1
LEON,Santiago Sandoval,0.0,1
NEW YORK RB,Alan Mozo,103.21579788005432,1
NEW YORK RB,Alan Pulido,250.0,1
NEW YORK RB,Armando González,162.6391969086063,1
NEW YORK RB,Bryan González,184.85597640196792,1
NEW YORK RB,Cade Cowell,101.75908986677888,1
NEW YORK RB,Daniel Aguirre,250.0,1
NEW YORK RB,Diego Campillo,107.70451878925624,1
NEW YORK RB,Efraín Álvarez,247.61605826003722,1
NEW YORK RB,Erick Gutiérrez,250.0,1
NEW YORK RB,Gilberto Sepulveda,250.0,1
NEW YORK RB,José Castillo,250.0,1
NEW YORK RB,Luis Romo,250.0,1
NEW YORK RB,Raúl Rangel,154.86913891074596,1
NEW YORK RB,Richard Ledezma,250.0,1
NEW YORK RB,Roberto Alvarado,200.98848588629176,1
NEW YORK RB,Rubén González,27.49611275995296,1
SAN LUIS,Alan Mozo,147.181606031855,1
SAN LUIS,Alan Pulido,250.0,1
SAN LUIS,Armando González,41.22107304412752,1
SAN LUIS,Bryan González,169.9998009274388,1
SAN LUIS,Cade Cowell,137.71409547911614,1
SAN LUIS,Daniel Aguirre,250.0,1
SAN LUIS,Diego Campillo,176.5661595345323,1
SAN LUIS,Efraín Álvarez,151.44963087985636,1
SAN LUIS,Erick Gutiérrez,250.0,1
SAN LUIS,Hugo Camberos,16.257319922402722,1
SAN LUIS,José Castillo,250.0,1
SAN LUIS,Luis Romo,250.0,1
SAN LUIS,Omar Govea,250.0,1
SAN LUIS,Richard Ledezma,222.2140148720804,1
SAN LUIS,Roberto Alvarado,200.03998093142928,1
SANTOS,Alan Mozo,250.0,1
SANTOS,Alan Pulido,250.0,1
SANTOS,Armando González,250.0,1
SANTOS,Bryan González,229.24691204790753,1
SANTOS,Cade Cowell,8.51606312082527,1
SANTOS,Daniel Aguirre,250.0,1
SANTOS,Diego Campillo,239.26538192751417,1
SANTOS,Efraín Álvarez,250.0,1
SANTOS,Erick Gutiérrez,124.42232985695307,1
SANTOS,Gilberto Sepulveda,241.2939700048831,1
SANTOS,Hugo Camberos,170.64214210049963,1
SANTOS,José Castillo,250.0,1
SANTOS,Luis Romo,250.0,1
