Nombre_Fuente,id_jugador
alvarado,25
alan pulido,23
alan mozo,4
armando gonzalez,29
bryan,7
cade cowell,22
campillo,9
d aguirre,19
efrain,15
gsepulveda,5
g sepulveda,5
govea,14
gutierrez,17
hugo camberos,26
jose castillo,10
l romo,18
ledezma,21
miguel gomez,11
rangel,1
ruben gonzalez,20
santiago sandoval,31
teun wilke,27
yael padilla,28
tapias,6

